Time,Herbicide,Population,High,Medium,Low,Resistance
Summer,Glyphosate,Cha 3,0,65,35,100
Summer,Glyphosate,Dun 3,95,5,0,5
Summer,Glyphosate,Dun 4,10,70,20,90
Summer,Glyphosate,Dun 5,25,60,15,75
Summer,Glyphosate,Hay 1,85,10,5,15
Summer,Glyphosate,Hay 3 ,100,0,0,0
Summer,Glyphosate,Hay 4,65,35,0,35
Summer,Glyphosate,Kei 2,5,80,15,95
Summer,Glyphosate,Kei 3,85,15,0,15
Summer,Glyphosate,Kei 5,0,65,35,100
Summer,Glyphosate,Kei 6,0,75,25,100
Summer,Glyphosate,Log 1,2,63,35,98
Summer,Glyphosate,Log 2,95,5,0,5
Summer,Glyphosate,Log 4,5,80,15,95
Summer,Glyphosate,Per 2,10,55,35,90
Summer,Glyphosate,Per 4,45,40,15,55
Summer,Glyphosate,Red 2,55,40,5,45
Summer,Glyphosate,Red 4,15,50,35,85
Summer,Glyphosate,Red 5,45,40,15,55
Summer,Fomesafen,Cha 3,65,25,10,35
Summer,Fomesafen,Dun 3,55,40,5,45
Summer,Fomesafen,Dun 4,65,35,0,35
Summer,Fomesafen,Dun 5,70,30,0,30
Summer,Fomesafen,Hay 1,70,30,0,30
Summer,Fomesafen,Hay 3 ,65,35,0,35
Summer,Fomesafen,Hay 4,60,40,0,40
Summer,Fomesafen,Kei 2,55,35,10,45
Summer,Fomesafen,Kei 3,35,55,10,65
Summer,Fomesafen,Kei 5,60,40,0,40
Summer,Fomesafen,Kei 6,55,40,5,45
Summer,Fomesafen,Log 1,70,30,0,30
Summer,Fomesafen,Log 2,65,30,5,35
Summer,Fomesafen,Log 4,45,50,5,55
Summer,Fomesafen,Per 2,80,20,0,20
Summer,Fomesafen,Per 4,65,35,0,35
Summer,Fomesafen,Red 2,55,45,0,45
Summer,Fomesafen,Red 4,20,75,5,80
Summer,Fomesafen,Red 5,75,20,5,25
Spring,Glyphosate,Cha 3,25,5,70,75
Spring,Glyphosate,Dun 3,80,20,0,20
Spring,Glyphosate,Dun 4,0,0,100,100
Spring,Glyphosate,Dun 5,40,60,0,60
Spring,Glyphosate,Hay 1,45,45,10,55
Spring,Glyphosate,Hay 3 ,0,100,0,100
Spring,Glyphosate,Hay 4,10,0,90,90
Spring,Glyphosate,Kei 2,10,30,60,90
Spring,Glyphosate,Kei 3,10,45,45,90
Spring,Glyphosate,Kei 5,0,35,65,100
Spring,Glyphosate,Kei 6,5,75,20,95
Spring,Glyphosate,Log 1,0,25,75,100
Spring,Glyphosate,Log 2,35,50,15,65
Spring,Glyphosate,Log 4,0,5,95,100
Spring,Glyphosate,Per 2,0,80,20,100
Spring,Glyphosate,Per 4,20,35,45,80
Spring,Glyphosate,Red 2,0,100,0,100
Spring,Glyphosate,Red 4,10,35,55,90
Spring,Glyphosate,Red 5,0,0,100,100
Spring,Fomesafen,Cha 3,0,100,0,100
Spring,Fomesafen,Dun 3,15,85,0,85
Spring,Fomesafen,Dun 4,0,100,0,100
Spring,Fomesafen,Dun 5,65,35,0,35
Spring,Fomesafen,Hay 1,10,90,0,90
Spring,Fomesafen,Hay 3 ,5,95,0,95
Spring,Fomesafen,Hay 4,30,70,0,70
Spring,Fomesafen,Kei 2,20,80,0,80
Spring,Fomesafen,Kei 3,85,15,0,15
Spring,Fomesafen,Kei 5,20,75,5,80
Spring,Fomesafen,Kei 6,20,80,0,80
Spring,Fomesafen,Log 1,35,65,0,65
Spring,Fomesafen,Log 2,5,85,10,95
Spring,Fomesafen,Log 4,15,85,0,85
Spring,Fomesafen,Per 2,5,90,5,95
Spring,Fomesafen,Per 4,0,100,0,100
Spring,Fomesafen,Red 2,0,100,0,100
Spring,Fomesafen,Red 4,0,100,0,100
Spring,Fomesafen,Red 5,5,90,5,95
Fall,Lactofen,Cha 3,90,10,0,10
Fall,Lactofen,Dun 3,100,0,0,0
Fall,Lactofen,Dun 4,90,10,0,10
Fall,Lactofen,Dun 5,100,0,0,0
Fall,Lactofen,Hay 1,90,10,0,10
Fall,Lactofen,Hay 3 ,100,0,0,0
Fall,Lactofen,Hay 4,90,10,0,10
Fall,Lactofen,Kei 2,100,0,0,0
Fall,Lactofen,Kei 3,90,10,0,10
Fall,Lactofen,Kei 5,100,0,0,0
Fall,Lactofen,Kei 6,75,25,0,25
Fall,Lactofen,Log 1,100,0,0,0
Fall,Lactofen,Log 2,100,0,0,0
Fall,Lactofen,Log 4,100,0,0,0
Fall,Lactofen,Per 2,50,50,0,50
Fall,Lactofen,Per 4,90,10,0,10
Fall,Lactofen,Red 2,95,5,0,5
Fall,Lactofen,Red 4,85,15,0,15
Fall,Lactofen,Red 5,85,15,0,15
Fall,Fomesafen,Cha 3,100,0,0,0
Fall,Fomesafen,Dun 3,85,15,0,15
Fall,Fomesafen,Dun 4,100,0,0,0
Fall,Fomesafen,Dun 5,100,0,0,0
Fall,Fomesafen,Hay 1,65,35,0,35
Fall,Fomesafen,Hay 3 ,95,5,0,5
Fall,Fomesafen,Hay 4,95,5,0,5
Fall,Fomesafen,Kei 2,100,0,0,0
Fall,Fomesafen,Kei 3,80,20,0,20
Fall,Fomesafen,Kei 5,95,5,0,5
Fall,Fomesafen,Kei 6,80,20,0,20
Fall,Fomesafen,Log 1,100,0,0,0
Fall,Fomesafen,Log 2,100,0,0,0
Fall,Fomesafen,Log 4,80,20,0,20
Fall,Fomesafen,Per 2,95,5,0,5
Fall,Fomesafen,Per 4,95,5,0,5
Fall,Fomesafen,Red 2,95,5,0,5
Fall,Fomesafen,Red 4,85,15,0,15
Fall,Fomesafen,Red 5,95,5,0,5
