resistant,county,species,crop,tillage,irrigation,distribution
no,antelope,Waterhemp,soybean,yes,yes,field
yes,antelope,Palmer,soybean,no,yes,field
no,buffalo,Palmer,soybean,yes,yes,edges
no,buffalo,Palmer,corn,yes,yes,edges
no,buffalo,Palmer,corn,yes,yes,edges
no,buffalo,Palmer,soybean,yes,yes,edges
yes,buffalo,Palmer,soybean,yes,yes,field
no,burt,Waterhemp,soybean,yes,no,field
no,burt,Waterhemp,corn,yes,no,field
yes,burt,Waterhemp,corn,,no,field
yes,burt,Waterhemp,corn,no,no,field
no,burt,Redroot,corn,no,no,field
no,butler,Waterhemp,soybean,no,no,field
no,butler,Waterhemp,soybean,yes,no,field
yes,butler,Waterhemp,soybean,yes,,field
yes,cass,Waterhemp,soybean,yes,no,edges
yes,cass,Waterhemp,soybean,no,no,edges
yes,cass,Waterhemp,soybean,no,no,edges
yes,cass,Waterhemp,soybean,yes,no,field
yes,cass,Waterhemp,soybean,no,no,edges
yes,cass,Waterhemp,soybean,no,no,edges
yes,cass,Waterhemp,soybean,yes,no,field
no,chase,Palmer,corn,no,yes,field
no,chase,Palmer,corn,no,yes,edges
no,chase,Palmer,corn,no,yes,field
no,chase,Palmer,,,,
no,chase,Palmer,corn,no,no,edges
no,chase,Palmer,corn,yes,yes,edges
no,cheyenne,Palmer,corn,,no,
no,cheyenne,Redroot,wheat,yes,no,field
yes,colfax,Waterhemp,corn,yes,no,field
no,colfax,Palmer,corn,yes,yes,field
no,cuming,Waterhemp,corn,yes,no,field
no,cuming,Waterhemp,soybean,no,no,field
yes,cuming,Waterhemp,soybean,no,no,field
yes,cuming,Waterhemp,soybean,no,yes,field
yes,cuming,Waterhemp,soybean,no,no,field
no,custer,Palmer,alfalfa,yes,no,field
no,custer,Palmer,corn,yes,no,field
no,custer,Palmer,corn,yes,no,field
no,custer,Palmer,corn,yes,no,field
no,custer,Palmer,corn,yes,yes,field
no,custer,Palmer,soybean,yes,yes,field
no,custer,Redroot,corn,yes,yes,field
yes,dakota,Waterhemp,soybean,yes,no,field
no,dakota,Redroot,corn,no,no,edges
no,dawson,Palmer,corn,no,yes,edges
no,dawson,Palmer,corn,yes,yes,edges
no,dawson,Palmer,corn,no,yes,edges
no,dawson,Palmer,soybean,yes,yes,edges
no,deuel,Palmer,corn,,,
no,deuel,Redroot,corn,yes,no,field
no,dixon,Waterhemp,corn,no,no,field
no,dixon,Redroot,corn,yes,no,field
yes,dodge,Waterhemp,soybean,yes,no,field
yes,dodge,Waterhemp,corn,yes,no,field
yes,dodge,Waterhemp,corn,yes,no,field
yes,dodge,Waterhemp,soybean,no,no,field
yes,dodge,Waterhemp,soybean,no,no,field
no,dundy,Palmer,corn,yes,no,field
no,dundy,Palmer,corn,yes,yes,field
no,dundy,Palmer,corn,yes,no,field
no,fillmore,Waterhemp,soybean,yes,yes,field
no,fillmore,Waterhemp,soybean,,,edges
no,fillmore,Waterhemp,soybean,yes,yes,field
yes,fillmore,Waterhemp,soybean,yes,no,field
yes,fillmore,Waterhemp,soybean,yes,yes,field
yes,fillmore,Waterhemp,soybean,yes,yes,field
no,fillmore,Palmer,soybean,yes,yes,field
no,fillmore,Palmer,soybean,yes,yes,field
no,fillmore,Palmer,soybean,no,yes,edges
no,frontier,Palmer,corn,no,no,edges
no,frontier,Palmer,soybean,yes,no,field
no,frontier,Palmer,corn,yes,no,edges
no,frontier,Palmer,corn,no,no,field
no,frontier,Palmer,sorghum,yes,yes,edges
no,frontier,Palmer,corn,no,yes,edges
no,furnas,Palmer,corn,no,no,field
no,furnas,Palmer,sorghum,no,no,field
yes,furnas,Palmer,corn,no,no,field
no,gage,Waterhemp,soybean,no,no,field
yes,gage,Waterhemp,corn,no,no,field
no,gosper,Palmer,sorghum,no,no,edges
no,gosper,Palmer,corn,yes,no,edges
no,greeley,Palmer,corn,yes,yes,field
no,greeley,Palmer,soybean,yes,no,field
no,greeley,Redroot,corn,yes,yes,field
no,greeley,Redroot,corn,yes,no,field
no,hall,Palmer,corn,no,yes,edges
no,hall,Palmer,soybean,yes,yes,field
no,hall,Palmer,soybean,yes,no,edges
yes,hall,Palmer,soybean,yes,no,field
no,hamilton,Waterhemp,soybean,yes,no,field
no,hamilton,Waterhemp,soybean,yes,yes,
no,hamilton,Palmer,corn,no,no,field
no,harlan,Palmer,corn,no,no,field
no,harlan,Palmer,corn,,no,edges
no,hayes,Palmer,sorghum,yes,no,field
no,hayes,Redroot,corn,no,no,edges
no,hitchcock,Palmer,corn,no,no,field
no,hitchcock,Palmer,corn,no,no,edges
no,hitchcock,Palmer,corn,no,no,field
no,jefferson,Waterhemp,soybean,no,no,edges
no,jefferson,Waterhemp,soybean,no,no,field
no,jefferson,Waterhemp,soybean,no,no,edges
yes,jefferson,Waterhemp,soybean,no,no,field
yes,jefferson,Waterhemp,soybean,no,no,edges
yes,johnson,Waterhemp,soybean,no,no,field
yes,johnson,Waterhemp,soybean,no,no,field
yes,johnson,Waterhemp,soybean,no,no,field
yes,johnson,Waterhemp,soybean,no,no,edges
no,kearney,Palmer,corn,yes,yes,edges
no,kearney,Palmer,corn,yes,yes,edges
no,kearney,Palmer,,,,edges
no,keith,Palmer,corn,yes,yes,field
no,keith,Palmer,corn,no,yes,field
no,keith,Palmer,soybean,yes,yes,edges
no,keith,Palmer,corn,no,yes,edges
no,knox,Redroot,,,,
no,knox,Redroot,,,,
yes,lancaster,Waterhemp,corn,no,no,edges
yes,lancaster,Waterhemp,soybean,no,no,field
yes,lancaster,Waterhemp,soybean,no,no,field
yes,lancaster,Waterhemp,soybean,no,no,field
yes,lancaster,Waterhemp,soybean,no,no,field
no,lincoln,Palmer,corn,no,yes,field
no,lincoln,Palmer,corn,yes,no,edges
no,lincoln,Palmer,corn,yes,yes,field
no,lincoln,Palmer,corn,yes,yes,edges
no,lincoln,Palmer,corn,no,yes,edges
no,lincoln,Palmer,,,,field
no,lincoln,Palmer,sorghum,yes,no,field
no,merrick,Palmer,corn,yes,yes,edges
no,merrick,Palmer,corn,no,yes,field
no,morril,Palmer,soybean,yes,yes,
no,morril,Redroot,corn,no,yes,
no,morril,Redroot,sorghum,yes,no,field
no,nance,Palmer,corn,yes,no,field
no,nance,Redroot,corn,yes,no,edges
yes,otoe,Waterhemp,soybean,no,no,edges
yes,otoe,Waterhemp,soybean,no,no,field
yes,otoe,Waterhemp,soybean,yes,no,field
yes,otoe,Waterhemp,soybean,yes,no,edges
yes,otoe,Waterhemp,soybean,no,no,field
no,pawnee,Waterhemp,soybean,yes,no,edges
yes,pawnee,Waterhemp,soybean,no,no,field
yes,pawnee,Waterhemp,soybean,no,no,field
yes,pawnee,Waterhemp,soybean,no,no,field
yes,pawnee,Waterhemp,soybean,no,no,field
no,pawnee,Palmer,soybean,no,no,edges
no,perkins,Palmer,corn,no,yes,edges
no,perkins,Palmer,wheat,no,no,field
no,perkins,Palmer,corn,no,yes,field
no,perkins,Palmer,corn,no,no,field
no,perkins,Palmer,soybean,no,yes,edges
no,phelps,Palmer,soybean,yes,yes,field
no,phelps,Palmer,soybean,yes,yes,edges
no,phelps,Palmer,soybean,yes,yes,edges
no,polk,Waterhemp,corn,yes,no,field
yes,polk,Waterhemp,soybean,no,yes,field
no,red willow,Palmer,corn,no,no,edges
no,red willow,Palmer,corn,no,yes,field
no,red willow,Palmer,corn,no,no,edges
no,red willow,Palmer,corn,no,no,field
no,richardson,Waterhemp,soybean,no,no,field
yes,richardson,Waterhemp,soybean,yes,no,field
yes,richardson,Waterhemp,soybean,no,no,edges
yes,richardson,Waterhemp,soybean,no,no,field
yes,richardson,Waterhemp,soybean,no,no,field
yes,richardson,Waterhemp,soybean,no,no,field
yes,richardson,Palmer,soybean,no,no,edges
no,saline,Waterhemp,soybean,no,no,field
yes,saline,Waterhemp,soybean,no,no,field
yes,saline,Waterhemp,soybean,no,no,field
no,saline,Palmer,wheat,no,no,field
yes,sarpy,Waterhemp,soybean,no,no,edges
yes,sarpy,Waterhemp,soybean,yes,no,field
yes,sarpy,Waterhemp,soybean,no,no,field
yes,sarpy,Waterhemp,soybean,no,no,field
yes,sarpy,Waterhemp,soybean,no,no,field
no,saunders,Waterhemp,soybean,yes,no,edges
yes,saunders,Waterhemp,soybean,,no,edges
yes,saunders,Waterhemp,soybean,no,no,field
no,sherman,Redroot,corn,yes,no,field
no,sherman,Redroot,soybean,no,yes,field
no,sherman,Redroot,corn,yes,no,edges
no,thayer,Waterhemp,corn,no,,edges
no,thayer,Waterhemp,soybean,no,yes,edges
no,thayer,Waterhemp,corn,no,yes,edges
no,thayer,Waterhemp,soybean,,,field
no,thayer,Palmer,soybean,no,yes,edges
yes,thayer,Palmer,alfalfa,no,no,field
no,valley,Palmer,corn,yes,no,field
no,valley,Redroot,soybean,yes,yes,field
no,valley,Redroot,soybean,yes,no,field
no,washington,Waterhemp,soybean,no,no,edges
yes,washington,Waterhemp,soybean,no,no,field
yes,washington,Waterhemp,soybean,no,no,field
yes,washington,Waterhemp,soybean,yes,no,field
yes,washington,Waterhemp,soybean,no,no,field
yes,washington,Waterhemp,soybean,,no,field
