resistant,species,crop,tillage,irrigation,distribution,region
no,Palmer,soybean,yes,yes,edges,Central
no,Palmer,corn,yes,yes,edges,Central
no,Palmer,corn,yes,yes,edges,Central
no,Palmer,soybean,yes,yes,edges,Central
yes,Palmer,soybean,yes,yes,field,Central
no,Palmer,corn,no,yes,field,Southwest
no,Palmer,corn,no,yes,edges,Southwest
no,Palmer,corn,no,yes,field,Southwest
no,Palmer,,,,,Southwest
no,Palmer,corn,no,no,edges,Southwest
no,Palmer,corn,yes,yes,edges,Southwest
no,Palmer,corn,,no,,Northwest
no,Palmer,corn,yes,yes,field,East Central
no,Palmer,alfalfa,yes,no,field,Central
no,Palmer,corn,yes,no,field,Central
no,Palmer,corn,yes,no,field,Central
no,Palmer,corn,yes,no,field,Central
no,Palmer,corn,yes,yes,field,Central
no,Palmer,soybean,yes,yes,field,Central
no,Palmer,corn,no,yes,edges,Central
no,Palmer,corn,yes,yes,edges,Central
no,Palmer,corn,no,yes,edges,Central
no,Palmer,soybean,yes,yes,edges,Central
no,Palmer,corn,,,,Northwest
no,Palmer,corn,yes,no,field,Southwest
no,Palmer,corn,yes,yes,field,Southwest
no,Palmer,corn,yes,no,field,Southwest
no,Palmer,soybean,yes,yes,field,Southeast
no,Palmer,soybean,yes,yes,field,Southeast
no,Palmer,soybean,no,yes,edges,Southeast
yes,Palmer,wheat,no,no,field,South Central
no,Palmer,corn,no,no,edges,Southwest
no,Palmer,soybean,yes,no,field,Southwest
no,Palmer,corn,yes,no,edges,Southwest
no,Palmer,corn,no,no,field,Southwest
no,Palmer,sorghum,yes,yes,edges,Southwest
no,Palmer,corn,no,yes,edges,Southwest
no,Palmer,corn,no,no,field,South Central
no,Palmer,sorghum,no,no,field,South Central
yes,Palmer,corn,no,no,field,South Central
no,Palmer,corn,yes,yes,field,Northwest
no,Palmer,sorghum,no,no,edges,South Central
no,Palmer,corn,yes,no,edges,South Central
no,Palmer,corn,yes,yes,field,Central
no,Palmer,soybean,yes,no,field,Central
no,Palmer,corn,no,yes,edges,Central
no,Palmer,soybean,yes,yes,field,Central
no,Palmer,soybean,yes,no,edges,Central
yes,Palmer,soybean,yes,no,field,Central
no,Palmer,corn,no,no,field,East Central
no,Palmer,corn,no,no,field,South Central
no,Palmer,corn,,no,edges,South Central
no,Palmer,sorghum,yes,no,field,Southwest
no,Palmer,corn,no,no,field,Southwest
no,Palmer,corn,no,no,edges,Southwest
no,Palmer,corn,no,no,field,Southwest
no,Palmer,soybean,yes,no,field,Central
no,Palmer,corn,yes,yes,edges,South Central
no,Palmer,corn,yes,yes,edges,South Central
no,Palmer,,,,edges,South Central
no,Palmer,corn,yes,yes,field,Southwest
no,Palmer,corn,no,yes,field,Southwest
no,Palmer,soybean,yes,yes,edges,Southwest
