Population,Site,Time,Run,Herbicide,Perc,alive,died,Resistant,PercMolec,AvegGA,PPO
Cha 3,EPSPS,Summer,2,Glyphosate,100,20,0,4 out 5,80,12,None
Dun 3,EPSPS,Summer,2,Glyphosate,5,1,19,0 out 3,0,1,PPX2 _G210
Dun 4,EPSPS,Summer,2,Glyphosate,90,18,2,5 out 5,100,6,None
Dun 5,EPSPS,Summer,2,Glyphosate,75,15,5,5 out 5,100,24,PPX2 _G210
Hay 1,EPSPS,Summer,2,Glyphosate,15,3,17,0 out 3,0,1,PPX2 _G210
Hay 3 ,EPSPS,Summer,2,Glyphosate,0,0,20,0 out 3,0,1,PPX2 _G210
Hay 4,EPSPS,Summer,2,Glyphosate,35,7,13,0 out 3,0,1,PPX2 _G210
Kei 2,EPSPS,Summer,2,Glyphosate,95,19,1,3 out 3,100,12,PPX2 _G210
Kei 3,EPSPS,Summer,2,Glyphosate,15,3,17,0 out 5,0,1,None
Kei 5,EPSPS,Summer,2,Glyphosate,100,20,0,2 out 3,67,7,PPX2 _G210
Kei 6,EPSPS,Summer,2,Glyphosate,100,20,0,4 out 5,80,21,None
Log 1,EPSPS,Summer,2,Glyphosate,90,18,2,2 out 3,67,50,PPX2 _G210
Log 2,EPSPS,Summer,2,Glyphosate,5,1,19,0 out 3,0,1,None
Log 4,EPSPS,Summer,2,Glyphosate,95,19,1,2 out 3,67,5,PPX2 _G210
Per 2,EPSPS,Summer,2,Glyphosate,90,18,2,4 out 5,80,39,None
Per 4,EPSPS,Summer,2,Glyphosate,55,11,9,2 out 5,67,14,None
Red 2,EPSPS,Summer,2,Glyphosate,45,9,11,1 out 3,33,3,PPX2 _G210
Red 4,EPSPS,Summer,2,Glyphosate,85,17,3,1 out 3,33,5,PPX2 _G210
Red 5,EPSPS,Summer,2,Glyphosate,55,11,9,0 out 5,0,1,None
Cha 3,PPO,Summer,2,Fomesafen,35,7,13,0 out 3,0,12,None
Dun 3,PPO,Summer,2,Fomesafen,45,9,11,2 out 3,67,1,PPX2 _G210
Dun 4,PPO,Summer,2,Fomesafen,35,7,13,0 out 3,0,6,None
Dun 5,PPO,Summer,2,Fomesafen,30,6,14,1 out 5,20,24,PPX2 _G210
Hay 1,PPO,Summer,2,Fomesafen,30,6,14,3 out 3,100,1,PPX2 _G210
Hay 3 ,PPO,Summer,2,Fomesafen,35,7,13,3 ou 3,100,1,PPX2 _G210
Hay 4,PPO,Summer,2,Fomesafen,40,8,12,2 ou 3,67,1,PPX2 _G210
Kei 2,PPO,Summer,2,Fomesafen,45,9,11,1 out 3,33,12,PPX2 _G210
Kei 3,PPO,Summer,2,Fomesafen,65,13,7,0 out 3,0,1,None
Kei 5,PPO,Summer,2,Fomesafen,40,8,12,2 out 3,67,7,PPX2 _G210
Kei 6,PPO,Summer,2,Fomesafen,45,9,11,0 ou 3,0,17,None
Log 1,PPO,Summer,2,Fomesafen,30,6,14,1 out 3,33,34,PPX2 _G210
Log 2,PPO,Summer,2,Fomesafen,35,7,13,0 out 3,0,1,None
Log 4,PPO,Summer,2,Fomesafen,55,11,9,2 out 3,67,5,PPX2 _G210
Per 2,PPO,Summer,2,Fomesafen,20,4,16,0 out 3,0,39,None
Per 4,PPO,Summer,2,Fomesafen,35,7,13,0 out 3,0,14,None
Red 2,PPO,Summer,2,Fomesafen,45,9,11,2 ou 3,67,3,PPX2 _G210
Red 4,PPO,Summer,2,Fomesafen,80,16,4,2 ou 3,67,5,PPX2 _G210
Red 5,PPO,Summer,2,Fomesafen,25,5,15,0 out 3,0,1,None
Cha 3,EPSPS,Winter,1,Glyphosate,75,15,5,4 out 5,80,12,None
Dun 3,EPSPS,Winter,1,Glyphosate,20,4,16,0 out 3,0,1,PPX2 _G210
Dun 4,EPSPS,Winter,1,Glyphosate,100,20,0,5 out 5,100,6,None
Dun 5,EPSPS,Winter,1,Glyphosate,60,12,8,5 out 5,100,24,PPX2 _G210
Hay 1,EPSPS,Winter,1,Glyphosate,55,11,9,0 out 3,0,1,PPX2 _G210
Hay 3 ,EPSPS,Winter,1,Glyphosate,0,0,20,0 out 3,0,1,PPX2 _G210
Hay 4,EPSPS,Winter,1,Glyphosate,90,18,2,0 out 3,0,1,PPX2 _G210
Kei 2,EPSPS,Winter,1,Glyphosate,90,18,2,3 out 3,100,12,PPX2 _G210
Kei 3,EPSPS,Winter,1,Glyphosate,90,18,2,0 out 5,0,1,None
Kei 5,EPSPS,Winter,1,Glyphosate,100,20,0,2 out 3,67,7,PPX2 _G210
Kei 6,EPSPS,Winter,1,Glyphosate,95,19,1,4 out 5,80,21,None
Log 1,EPSPS,Winter,1,Glyphosate,100,20,0,2 out 3,67,50,PPX2 _G210
Log 2,EPSPS,Winter,1,Glyphosate,65,13,7,0 out 3,0,1,None
Log 4,EPSPS,Winter,1,Glyphosate,100,20,0,2 out 3,67,5,PPX2 _G210
Per 2,EPSPS,Winter,1,Glyphosate,100,20,0,4 out 5,80,39,None
Per 4,EPSPS,Winter,1,Glyphosate,80,16,4,2 out 5,67,14,None
Red 2,EPSPS,Winter,1,Glyphosate,100,20,0,1 out 3,33,3,PPX2 _G210
Red 4,EPSPS,Winter,1,Glyphosate,90,18,2,1 out 3,33,5,PPX2 _G210
Red 5,EPSPS,Winter,1,Glyphosate,100,20,0,0 out 5,0,1,None
Cha 3,PPO,Winter,1,Fomesafen,100,20,0,0 out 3,0,12,None
Dun 3,PPO,Winter,1,Fomesafen,85,17,3,2 out 3,67,1,PPX2 _G210
Dun 4,PPO,Winter,1,Fomesafen,100,20,0,0 out 3,0,6,None
Dun 5,PPO,Winter,1,Fomesafen,35,7,13,1 out 5,20,24,PPX2 _G210
