geneamp,resistant,county,population,latitude ,longitude,currentCrop,tillage,irrigation,populationdistribution,populationdensity,herbicideinjury,previouscrop,greenhouse
7,yes,Chase,Cha.1,40.685468,-101.62101,sorghum,tilled,rainfed,spread,low,no,corn,no
1,yes,Chase,Cha.2,40.634612,-101.590776,corn,strip-till,centerpivot,spread,high,no,wheatstubble,no
9,yes,Chase,Cha.3,40.566647,-101.631201,corn,no-till,centerpivot,spread,high,no,fallow/cornstalks,yes
10,yes,Chase,Cha.4,40.566638,-101.699424,soybeans,no-till,centerpivot,spread,low,no,fallow/cornstalks,no
1,no,Chase,Cha.5,40.557448,-101.760667,corn,strip-till,rainfed,spread,low,no,corn,no
5,yes,Dundy,Dun.1,40.144524,-101.415029,wheatstubble,tilled,rainfed,spread,intermediate,no,other,no
1,no,Dundy,Dun.2,40.163365,-101.526339,corn,no-till,rainfed,spread,intermediate,no,sorghum,no
1,no,Dundy,Dun.3,40.162482,-101.570355,other,tilled,centerpivot,spread,intermediate,yes,,yes
6,yes,Dundy,Dun.4,40.173475,-101.644362,corn,no-till,centerpivot,edges,high,yes,corn,yes
24,yes,Dundy,Dun.5,40.14808,-101.734971,soybeans,tilled,centerpivot,spread,low,no,corn,yes
6,yes,Frontier,Fro.1,40.585022,-100.47665,corn,no-till,rainfed,edges,high,no,sorghum,no
3,yes,Frontier,Fro.2,40.540969,-100.398143,soybeans,tilled,rainfed,edges,low,yes,corn,no
5,yes,Frontier,Fro.3,40.540899,-100.263293,soybeans,tilled,centerpivot,spread,high,yes,wheatstubble,no
1,no,Frontier,Fro.4,40.42332,-100.481296,sorghum,tilled,rainfed,edges,intermediate,no,fallow/cornstalks,no
1,no,Frontier,Fro.5,40.416201,-100.585716,soybeans,tilled,centerpivot,edges,high,no,corn,no
1,no,Hayes,Hay.1,40.622278,-100.818085,sorghum,tilled,centerpivot,spread,intermediate,no,fallow/cornstalks,yes
2,yes,Hayes,Hay.2,40.625317,-101.036986,corn,no-till,rainfed,spread,intermediate,no,wheatstubble,no
2,no,Hayes,Hay.3,40.569543,-101.073034,sorghum,tilled,centerpivot,spread,high,no,wheatstubble,yes
1,no,Hayes,Hay.4,40.415382,-101.055879,corn,no-till,rainfed,edges,intermediate,yes,wheatstubble,yes
1,no,Hayes,Hay.5,40.424524,-101.004149,sorghum,no-till,rainfed,spread,high,no,wheatstubble,no
5,yes,Hitchcoock,Hit.1,40.335389,-101.139517,corn,tilled,centerpivot,edges,low,no,fallow/cornstalks,no
21,yes,Hitchcoock,Hit.2,40.284923,-101.123414,soybeans,no-till,rainfed,spread,low,no,corn,no
3,yes,Hitchcoock,Hit.3,40.216374,-101.124232,corn,no-till,rainfed,edges,high,no,corn,no
2,yes,Hitchcoock,Hit.4,40.219716,-100.933308,sorghum,no-till,rainfed,edges,high,no,wheatstubble,no
1,no,Hitchcoock,Hit.5,40.20569,-100.826568,soybeans,no-till,centerpivot,edges,high,no,corn,no
