Date,County,PopulationID,Rep,PPX2_G210,EPSPS,PPX2_R128GM,Latitude,Longitude,CurrentCrop,Tillage,Irrigation,PopulationDistribution,PopulationDensity,HerbicideInjury,PreviousCrop,OtherSpecies
8/7/17,Chase,Cha.1,1,No,,No,40.685468,-101.62101,sorghum,tilled,rainfed,spread,low,no,corn,no
8/7/17,Chase,Cha.1,2,No,23,No,40.685468,-101.62101,sorghum,tilled,rainfed,spread,low,no,corn,no
8/7/17,Chase,Cha.1,3,No,1,No,40.685468,-101.62101,sorghum,tilled,rainfed,spread,low,no,corn,no
8/7/17,Chase,Cha.1,4,No,1,No,40.685468,-101.62101,sorghum,tilled,rainfed,spread,low,no,corn,no
8/7/17,Chase,Cha.1,5,No,1,No,40.685468,-101.62101,sorghum,tilled,rainfed,spread,low,no,corn,no
8/7/17,Chase,Cha.2,1,No,1,No,40.634612,-101.590776,corn,strip-till,centerpivot,spread,high,no,wheatstubble,no
8/7/17,Chase,Cha.2,2,No,1,No,40.634612,-101.590776,corn,strip-till,centerpivot,spread,high,no,wheatstubble,no
8/7/17,Chase,Cha.2,3,No,1,No,40.634612,-101.590776,corn,strip-till,centerpivot,spread,high,no,wheatstubble,no
8/7/17,Chase,Cha.2,4,No,3,No,40.634612,-101.590776,corn,strip-till,centerpivot,spread,high,no,wheatstubble,no
8/7/17,Chase,Cha.2,5,No,1,No,40.634612,-101.590776,corn,strip-till,centerpivot,spread,high,no,wheatstubble,no
8/7/17,Chase,Cha.3,1,No,10,No,40.566647,-101.631201,corn,no-till,centerpivot,spread,high,no,fallow/cornstalks,green foxtail
8/7/17,Chase,Cha.3,2,No,9,No,40.566647,-101.631201,corn,no-till,centerpivot,spread,high,no,fallow/cornstalks,green foxtail
8/7/17,Chase,Cha.3,3,No,15,No,40.566647,-101.631201,corn,no-till,centerpivot,spread,high,no,fallow/cornstalks,green foxtail
8/7/17,Chase,Cha.3,4,No,12,No,40.566647,-101.631201,corn,no-till,centerpivot,spread,high,no,fallow/cornstalks,green foxtail
8/7/17,Chase,Cha.3,5,No,1,No,40.566647,-101.631201,corn,no-till,centerpivot,spread,high,no,fallow/cornstalks,green foxtail
8/7/17,Chase,Cha.4,1,No,1,No,40.566638,-101.699424,soybeans,no-till,centerpivot,spread,low,no,fallow/cornstalks,no
8/7/17,Chase,Cha.4,2,No,19,No,40.566638,-101.699424,soybeans,no-till,centerpivot,spread,low,no,fallow/cornstalks,no
8/7/17,Chase,Cha.4,3,No,26,Yes,40.566638,-101.699424,soybeans,no-till,centerpivot,spread,low,no,fallow/cornstalks,no
8/7/17,Chase,Cha.4,4,No,1,No,40.566638,-101.699424,soybeans,no-till,centerpivot,spread,low,no,fallow/cornstalks,no
8/7/17,Chase,Cha.4,5,No,1,No,40.566638,-101.699424,soybeans,no-till,centerpivot,spread,low,no,fallow/cornstalks,no
8/7/17,Chase,Cha.5,1,No,1,No,40.557448,-101.760667,corn,strip-till,rainfed,spread,low,no,corn,"kochia, Russian thistle"
8/7/17,Chase,Cha.5,2,Yes,1,No,40.557448,-101.760667,corn,strip-till,rainfed,spread,low,no,corn,"kochia, Russian thistle"
8/7/17,Chase,Cha.5,4,No,1,No,40.557448,-101.760667,corn,strip-till,rainfed,spread,low,no,corn,"kochia, Russian thistle"
8/8/17,Dundy,Dun.1,1,No,3,No,40.144524,-101.415029,wheatstubble,tilled,rainfed,spread,intermediate,no,other,"kochia, Russian thistle"
8/8/17,Dundy,Dun.1,2,Yes,18,No,40.144524,-101.415029,wheatstubble,tilled,rainfed,spread,intermediate,no,other,"kochia, Russian thistle"
8/8/17,Dundy,Dun.1,3,No,1,No,40.144524,-101.415029,wheatstubble,tilled,rainfed,spread,intermediate,no,other,"kochia, Russian thistle"
8/8/17,Dundy,Dun.1,4,No,3,No,40.144524,-101.415029,wheatstubble,tilled,rainfed,spread,intermediate,no,other,"kochia, Russian thistle"
8/8/17,Dundy,Dun.1,5,No,1,No,40.144524,-101.415029,wheatstubble,tilled,rainfed,spread,intermediate,no,other,"kochia, Russian thistle"
8/8/17,Dundy,Dun.2,1,No,1,No,40.163365,-101.526339,corn,no-till,rainfed,spread,intermediate,no,sorghum,"Digitariasanguinalis, Cenchruslongispinus"
8/8/17,Dundy,Dun.2,4,Yes,1,No,40.163365,-101.526339,corn,no-till,rainfed,spread,intermediate,no,sorghum,"Digitariasanguinalis, Cenchruslongispinus"
8/8/17,Dundy,Dun.2,5,No,1,No,40.163365,-101.526339,corn,no-till,rainfed,spread,intermediate,no,sorghum,"Digitariasanguinalis, Cenchruslongispinus"
8/8/17,Dundy,Dun.3,1,Yes,1,No,40.162482,-101.570355,other,tilled,centerpivot,spread,intermediate,yes,,no
